evidence_id,run_id,url_id,evidence_type,path_or_url,capture_date_utc,hash,archive_status,reviewer,notes
EV-E024,SEO-LIVE-002,E024,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-002/E024_pearl-irs-990.html,2026-05-22T07:59:45.576Z,18f8d3af61d3a439da008930f45b99ab7924987754a61eadbba67b32cff19807,local_fetched,research-desk,Fetched live page evidence for the second crawl batch (FUND-N001).
EV-E025,SEO-LIVE-002,E025,fetched_html,,2026-05-22T07:59:45.576Z,,local_fetched,research-desk,Fetched live page evidence for the second crawl batch (SEO-N027).
EV-E026,SEO-LIVE-002,E026,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-002/E026_scottish-motion-s6m-19300.html,2026-05-22T07:59:45.576Z,9b29c897aefb8efe4c07e97b4ec8d8db5db0e6208822804cf1b424150356c6da,local_fetched,research-desk,Fetched live page evidence for the second crawl batch (SEO-N066).
EV-E027,SEO-LIVE-002,E027,fetched_pdf,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-002/E027_ohchr-enforced-disappearances-2024.pdf,2026-05-22T07:59:45.576Z,ce532ed5e1313c7a4f74d1627991852433deec48e6e67290bad3ec2d48c3b494,local_fetched,research-desk,Fetched live page evidence for the second crawl batch (MUL-S030).

EV-E028,SEO-LIVE-003,E028,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E028_pearl-genocide-legal-brief.html,2026-05-22T08:15:58.928Z,1dbfdd28b6b6e69a5a1fb9e35bc07b98ce9154eafa6e34ac7f5bd00ac95c4552,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N020).
EV-E029,SEO-LIVE-003,E029,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E029_genocide-against-tamils-mullivaikkal.html,2026-05-22T08:15:58.928Z,fa9f547e818580f5a61d39be6a00e7b173d06eac6b8ee23b2e8641afae1d08a2,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N022).
EV-E030,SEO-LIVE-003,E030,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E030_tamil-conferences-declaration.html,2026-05-22T08:15:58.928Z,6ab05556e9765bdb6b914a6f4bb95e81b77141de5001cc22a07d04d25cbdf8f6,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N023).
EV-E031,SEO-LIVE-003,E031,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E031_tamil-guardian-remembrance-2026.html,2026-05-22T08:15:58.928Z,4200f4caa495759a5a7ee62f3504b93f066501bb2367fdbdb7191a0d8a9dc04a,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N024).
EV-E032,SEO-LIVE-003,E032,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E032_groundviews-counter-lane-2014.html,2026-05-22T08:15:58.928Z,c21bb3723c9f76f2da5600ef7552b8fd55c7b42938e6121193dfd5daca1c5aaf,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N025).
EV-E033,SEO-LIVE-003,E033,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E033_groundviews-reflection-2026.html,2026-05-22T08:15:58.928Z,23ff8b25b55cb6d8a2bec2d1f1fb5b995026e09ad91b391b5534be3c111a8846,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N026).
EV-E034,SEO-LIVE-003,E034,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E034_global-tamil-forum-about.html,2026-05-22T08:15:58.928Z,db8b91b6dd7b864a9f928987ebc811edcaacb09a5ab63f72717d1c3a2471a43b,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N031).
EV-E035,SEO-LIVE-003,E035,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E035_btf-company-route.html,2026-05-22T08:15:58.928Z,45f6ad9f80f22c7e51f1a64ac2aade9942e5193e91877260cacedcec455f3b85,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N032).
EV-E036,SEO-LIVE-003,E036,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E036_tgte-canada-corporation.html,2026-05-22T08:15:58.928Z,16c5319b88d70fb61705f67a41bd5a163af55493fb775de9d82df40c2d65cb14,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N033).
EV-E037,SEO-LIVE-003,E037,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E037_sri-lanka-brief-dead-missing.html,2026-05-22T08:15:58.928Z,db2bbc7d8a5fa3c5aae4a388b99aa7535a0b5d6492003b9872e50260e06fce94,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N037).
EV-E038,SEO-LIVE-003,E038,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E038_the-diplomat-2020-remembrance.html,2026-05-22T08:15:58.928Z,f0d35ef99281b716c5d71168011972b6bbac834acd9b47b123f8b72ff7e7834f,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N038).
EV-E039,SEO-LIVE-003,E039,fetched_html,,2026-05-22T08:15:58.928Z,,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N039).
EV-E040,SEO-LIVE-003,E040,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E040_pearl-2021-remembrance.html,2026-05-22T08:15:58.928Z,f451ff540b9cbc51b1de6361451d7b8619945b0f3b7b6c4483620d2664f6ec93,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N040).
EV-E041,SEO-LIVE-003,E041,fetched_pdf,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E041_pearl-2024-justice-for-genocide.pdf,2026-05-22T08:15:58.928Z,25e2af24ef64aa4a98ee38dcd7a1ccb828e98c9f96459667000db3d8b9ebf46b,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N041).
EV-E042,SEO-LIVE-003,E042,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E042_basement-films-killing-fields.html,2026-05-22T08:15:58.928Z,07d7704306ab588f0f5e18a8641cbbe9eb181002ad800a9656179761b0f40248,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N047).
EV-E043,SEO-LIVE-003,E043,fetched_html,/Users/rizrazak/.codex/worktrees/7a2a/research/Political/2026/08. Mullivaikkal/04-data/live-crawl-evidence/SEO-LIVE-003/E043_ilankai-tamil-sangam-amnesty-repost.html,2026-05-22T08:15:58.928Z,cedf0af56db2989b41f4a873a817489423e059613935c355ebec4e91f68117d6,local_fetched,research-desk,Fetched live page evidence for the third crawl batch (SEO-N048).
